cod_articulo|cod_uni_med|cod_marca|des_articulo|des_uni_med|num_precio|des_tipo|des_modelo|fla_estado|cod_articulo_aux|fla_reg_lote|cod_catalogo
00022|001|000|PAPA DE CONSUMO||.17910|A||A|011080040|N|01
00023|002|000|CAFE  INSTANTANEO EN LATA X 200 GRAMOS||2.78950|A||A|011090190|N|01
00024|002|000|CAFE PARA PASAR BOLSA X 200GR||.63240|A||A|011090200|N|01
00025|002|000|GALLETAS DE SODA, PAQUETES DE 10 UNIDADES||.15920|A||A|011100010|N|01
00026|002|000|BOLSITAS FILTRANTES X 100UND||1.83600|A||A|011100020|N|01
00027|001|000|SEMILLA DE KIWICHA VARIEDAD "OSCAR BLANCO"||1.10870|A||A|021010010|N|01
00028|001|000|SEMILLA DE MAIZ VAR. CHULLPI||.95030|A||A|021010030|N|01
00029|001|000|SEMILLA DE QUINUA SALCEDO INIA||1.52250|A||A|021010040|N|01
00030|001|000|SEMILLA DE QUINUA VARIEDAD "BLANCA DE JUNIN"||.79190|A||A|021010050|N|01
00031|001|000|SEMILLA DE QUINUA VARIEDAD AMARILLA||1.26000|A||A|021010060|N|01
00032|001|000|SEMILLA DE QUINUA VARIEDAD BLANCA||1.26000|A||A|021010070|N|01
00033|001|000|SEMILLA DE QUINUA VARIEDAD CANCOLLA||1.57500|A||A|021010080|N|01
00034|001|000|SEMILLA DE TRIGO CERTIFICADA VARIEDAD MORAI                                                        ||.47520|A||A|021010100|N|01
00035|001|000|SEMILLA DE MAIZ VARIEDAD BLANCO URUBAMBA                                                            ||.95030|A||A|021010110|N|01
00036|001|000|SEMILLA DE TRIGO VARIEDAD INIA 405 SAN ISIDRO||.54300|A||A|021010120|N|01
00037|001|000|SEMILLA DE DURAZNO CRIOLLO||37.22630|A||A|021020020|N|01
00038|001|000|SEMILLA DE DURAZNO OKINAWA||37.22630|A||A|021020030|N|01
00039|001|000|SEMILLA DE MANZANA CRIOLLA||148.90510|A||A|021020050|N|01
00040|001|000|SEMILLA DE PALTA CRIOLLA||6.33560|A||A|021020060|N|01
00041|001|000|SEMILLA DE CEBADA GRIÑON||.40390|A||A|021020070|N|01
00042|001|000|SEMILLA DE AVENA VARIEDAD GAVIOTA||.45390|A||A|021020100|N|01
00043|001|000|SEMILLA DE TRIGO VARIEDAD GAVILAN||.47520|A||A|021020110|N|01
00044|001|000|SEMILLA DE CEBADA VARIEDAD UNA 80||.37150|A||A|021020120|N|01
00045|001|000|SEMILLA DE AGUAYMANTO (PHYSALIS PERUVIANA)||77.55470|A||A|021020130|N|01
00046|001|000|SEMILLA DE CAPULI||11.94030|A||A|021020140|N|01
00047|001|000|SEMILLA DE TINTIN||17.91040|A||A|021020150|N|01
00048|001|000|SEMILLA DE TUMBO SERRANO||23.88060|A||A|021020160|N|01
00049|001|000|SEMILLA DE AVENA NEGRA||.47520|A||A|021030010|N|01
00050|001|000|SEMILLA DE AVENA VARIEDAD VILCANOTA||.52640|A||A|021030020|N|01
00051|001|000|SEMILLA DE RYEE GRASS CONCORD BIANUAL ITALIANO||2.48180|A||A|021030030|N|01
00052|001|000|SEMILLA DE RYEE INGLES NUI||3.10220|A||A|021030040|N|01
00053|001|000|SEMILLA DE RAY GRASS ITALIANO TAMA||2.50610|A||A|021030050|N|01
00054|001|000|SEMILLA DE MAIZ VARIEDAD MORADO DE HUARAZ                                                            ||.74630|A||A|021030060|N|01
00055|001|000|SEMILLA DE MAIZ VARIEDAD PESQ´ORUNTU                                                             ||.74630|A||A|021030070|N|01
00056|001|000|SEMILLA DE CEBOLLA ROJA AREQUIPEÑA||38.46720|A||A|021040010|N|01
00057|001|000|SEMILLA DE TOMATE VARIEDAD RIO DE ORO                                                               ||117.20800|A||A|021040020|N|01
00058|001|000|SEMILLA DE ACELGA VARIEDAD FORDHOOK GIANT                                                           ||28.63350|A||A|021040030|N|01
00059|001|000|SEMILLA DE BETERRAGA VARIEDAD ERLY WONDER                                                           ||21.71530|A||A|021040040|N|01
00060|001|000|SEMILLA DE ESPINACA VARIEDAD VIROFLAY                                                               ||37.15850|A||A|021040050|N|01
00061|001|000|SEMILLA DE NABO VARIEDAD CUELLO MORADO                                                              ||30.96540|A||A|021040060|N|01
00062|001|000|SEMILLA DE PAPRIKA VARIEDAD PAPRIKING                                                               ||95.45550|A||A|021040070|N|01
00063|001|000|SEMILLA DE PEREJIL VARIEDAD PLAIN                                                                   ||43.35160|A||A|021040080|N|01
00064|001|000|SEMILLA DE RABANITO VARIEDAD CRIMSON GIANT                                                          ||21.71530|A||A|021040090|N|01
00065|001|000|SEMILLA DE ZANAHORIA VARIEDAD ROYAL CHANTENAY                                                       ||32.88320|A||A|021040100|N|01
00066|001|000|SEMILLA DE LECHUGA VARIEDAD WHITE BOSTON                                                            ||33.50370|A||A|021040110|N|01
00067|001|000|SEMILLA DE ARVEJA VARIEDAD "INIA USUI"||1.10870|A||A|021050010|N|01
00068|001|000|SEMILLA DE HABA GIGANTE DE COPACABANA||.78410|A||A|021050030|N|01
00069|001|000|SEMILLA DE HABA VAR.VERDE MARANGANI||.95030|A||A|021050040|N|01
00070|001|000|SEMILLA DE HABA VARIEDAD "GIGANTE"||.52500|A||A|021050050|N|01
00071|001|000|SEMILLA DE HABA VARIEDAD "VERDE ANTA"||.95030|A||A|021050060|N|01
00072|001|000|SEMILLA DE TARWI VARRIEDAD BLANCA||.79190|A||A|021050070|N|01
00073|001|000|SEMILLA DE ALFALFA VARIEDAD WL 316 CHILENA||7.80330|A||A|021050080|N|01
00074|001|000|SEMILLA DE ALFALFA VARIEDAD MOAPA||7.14030|A||A|021050090|N|01
00075|001|000|SEMILLA DE ARVEJA VARIEDAD GRANIZO||2.21740|A||A|021050100|N|01
00076|001|000|SEMILLA DE HABA VARIEDAD USNAYO SELECCIONADO||.76120|A||A|021050120|N|01
00077|001|000|SEMILLA DE HABA VARIEDAD PERUANITA||.95030|A||A|021050130|N|01
00078|001|000|SEMILLA DE TARWI VARIEDAD BLANCO JUNIN||.95030|A||A|021050140|N|01
00079|001|000|SEMILLA DE TREBOL ROJO VARIEDAD TUROA||4.52090|A||A|021050170|N|01
00080|001|000|SEMILLA DE TREBOL VARIEDAD TREBOL BLANCO||5.38520|A||A|021050180|N|01
00081|001|000|SEMILLA VICIA SATIVA||1.54830|A||A|021050190|N|01
00082|001|000|SEMILLA VICIA VARIEDAD LANGUIDOR||1.56440|A||A|021050200|N|01
00083|001|000|SEMILLA DE FRIJOL VARIEDAD CANARIO                                                                  ||1.26710|A||A|021050210|N|01
00084|001|000|SEMILLA DE FRIJOL VARIEDAD PANAMITO                                                                 ||1.10870|A||A|021050220|N|01
00085|001|000|SEMILLA DE HABA CERTIFICADA VARIEDAD AMARILLA ALMIDON                                               ||1.06570|A||A|021050230|N|01
00086|001|000|SEMILLA DE HABA VARIEDAD AMARILLA ALMIDON                                                           ||.79800|A||A|021050240|N|01
00087|001|000|SEMILLA DE ARVEJA VARIEDAD RONDO||6.56720|A||A|021050250|N|01
00088|001|000|SEMILLA DE MARGARITAS VAR. POMPON||36.22500|A||A|021060010|N|01
00089|002|000|SEMILLA BOTANICA DE CLAVEL X 25 GR||5.37310|A||A|021060020|N|01
00090|001|000|SEMILLA DE PAPA VAR. CICA||.40710|A||A|021070010|N|01
00091|001|000|SEMILLA DE PAPA VARIEDAD "CANCHAN INIA"||.31680|A||A|021070020|N|01
00092|001|000|SEMILLA DE PAPA VARIEDAD "HUAYRO"||.51780|A||A|021070030|N|01
00093|001|000|SEMILLA DE PAPA VARIEDAD "PERUANITA"||.38010|A||A|021070040|N|01
00094|001|000|SEMILLA DE PAPA VARIEDAD COMPIS||.54820|A||A|021070050|N|01
00095|001|000|SEMILLA DE PAPA VARIEDAD IMILLA BLANCA||.63000|A||A|021070060|N|01
00096|001|000|SEMILLA DE PAPA VARIEDAD IMILLA NEGRA||.63000|A||A|021070070|N|01
00097|001|000|SEMILLA DE PAPA VARIEDAD HUAYCHA||.60900|A||A|021070120|N|01
00098|001|000|SEMILLA DE PAPA VARIEDAD CANCHAN REGISTRADA||.51780|A||A|021070130|N|01
00099|001|000|SEMILLA DE PAPA BASICA VARIEDAD TUMBAY TAMAÑO 2DA Y 3RA||.79190|A||A|021070150|N|01
00100|001|000|SEMILLA DE PAPA BASICA VARIEDAD PERUANITA TAMAÑO 2DA Y 3RA||.79190|A||A|021070160|N|01
00101|001|000|SEMILLA DE PAPA BASICA VARIEDAD HUAYRO TAMAÑO 2DA Y 3RA||.79190|A||A|021070170|N|01
00102|001|000|SEMILLA DE PAPA BASICA VARIEDAD CANCHAN INIA TAMAÑO 2DA Y 3RA||.76030|A||A|021070180|N|01
00103|001|000|SEMILLA DE PAPA CERTIFICADA VARIEDAD CANCHAN INIA TAMAÑO 2DA Y 3RA||.38010|A||A|021070200|N|01
00104|001|000|SEMILLA DE PAPA CERTIFICADA VARIEDAD CCOMPIS TAMAÑO 2DA Y 3RA||.44350|A||A|021070210|N|01
00105|001|000|SEMILLA DE PAPA CERTIFICADA VARIEDAD CICA TAMAÑO 2DA Y 3RA||.51780|A||A|021070220|N|01
00106|001|000|SEMILLA DE PAPA CERTIFICADA VARIEDAD IMILLA BLANCA||.65520|A||A|021070230|N|01
00107|001|000|SEMILLA DE PAPA CERTIFICADA VARIEDAD IMILLA NEGRA||.65520|A||A|021070240|N|01
00108|001|000|SEMILLA DE PAPA CERTIFICADA VARIEDAD MARIVA TAMAÑO 2DA Y 3RA||.75000|A||A|021070250|N|01
00109|001|000|SEMILLA DE PAPA CERTIFICADA VARIEDAD UNICA TAMAÑO 2DA Y 3RA||.41180|A||A|021070260|N|01
00110|001|000|SEMILLA DE PAPA REGISTRADA VARIEDAD QOMPIS||.54610|A||A|021070280|N|01
00111|001|000|SEMILLA DE PAPA VARIEDAD CHASCA CATEGORIA REGISTRADA                                                ||.51580|A||A|021070290|N|01
00112|001|000|SEMILLA DE PAPA CERTIFICADA VARIEDAD RUCKY  2DA Y 3RA||.59700|A||A|021070310|N|01
00113|002|000|RIZOMAS DE LLACON||.23880|A||A|021070320|N|01
00114|001|000|SEMILLA DE ALFALFA CALIFORNIA PELETIZADA||6.51460|A||A|021080020|N|01
00115|001|000|SEMILLA DE ALFALFA VARIEDAD GOLD PLUS||9.04180|A||A|021080030|N|01
00116|001|000|SEMILLA DE CIPRES MACROCARPA||21.74840|A||A|021080070|N|01
00117|001|000|SEMILLA DE DACTYLIS                                                                              ||3.91590|A||A|021080080|N|01
00118|001|000|SEMILLA DE EUCALIPTO GLOBULOS||46.60370|A||A|021080090|N|01
00119|001|000|SEMILLA DE KOLLE||31.36530|A||A|021080120|N|01
00120|001|000|SEMILLA DE MUTUY||19.00670|A||A|021080130|N|01
00121|001|000|SEMILLA DE PINO RADIATA||46.36360|A||A|021080140|N|01
00122|001|000|SEMILLA DE RYEE GRASS INGLES||3.80130|A||A|021080150|N|01
00123|001|000|SEMILLA DE TREBOL BLANCO VARIEDAD HUIA||6.82480|A||A|021080160|N|01
00124|001|000|SEMILLA DE TREBOL ROJO||5.06850|A||A|021080170|N|01
00125|001|000|SEMILLA DE VICIA||1.86420|A||A|021080180|N|01
00126|001|000|SEMILLA DE AVENA FORRAJERA VARIEDAD CRIOLLA||.45670|A||A|021080190|N|01
00127|001|000|SEMILLA DE AVENA VARIEDAD NEGRA TAYCO||.36900|A||A|021080200|N|01
00128|010|000|SEMILLA DE ACACIA FLORIBUNDA, A.MELANOXILON, A.CAVEN (ACACIA)||5.48060|A||A|021080210|N|01
00129|001|000|SEMILLA DE ALFALFA VARIEDAD WL 350||6.27310|A||A|021080220|N|01
00130|001|000|SEMILLA DE FESTUCA VARIEDAD  FESTUCA ALTA||5.48060|A||A|021080240|N|01
00131|001|000|SEMILLA DE POLILEPIS INCANA; P.TARAPACANA (QUEÑUA)||47.04800|A||A|021080270|N|01
00132|010|000|SEMILLA DE SPARTIUM JUNCEUM (RETAMA)||1.56440|A||A|021080280|N|01
00133|001|000|SEMILLA DE DACTYLIS GLOMERATA||3.92190|A||A|021080290|N|01
00134|001|000|SEMILLA DE DAYCTYLIS VARIEDAD POTOMAC||3.91590|A||A|021080300|N|01
00135|001|000|SEMILLA DE ALFALFA VARIEDAD CALIFORNIA 52                                                           ||8.86980|A||A|021080310|N|01
00136|001|000|SEMILLA DE ALFALFA VARIEDAD CUP 101                                                                 ||6.73530|A||A|021080320|N|01
00137|001|000|SEMILLA DE CETICIO                                                                                  ||37.28300|A||A|021080330|N|01
00138|001|000|SEMILLA DE CHACHACOMO                                                                               ||7.82210|A||A|021080340|N|01
00139|001|000|SEMILLA DE TARA                                                                                     ||15.83890|A||A|021080350|N|01
00140|001|000|SEMILLA DE TREBOL ROJO VARIEDAD QUIÑEQUELI                                                          ||4.65330|A||A|021080360|N|01
00141|001|000|SEMILLA DE VICIA VARIEDAD ATROPURPUREA                                                              ||3.13270|A||A|021080370|N|01
00142|001|000|SEMILLA DE ALFALFA WL REBOUND INOCULADA||7.16110|A||A|021080390|N|01
00143|001|000|SEMILLA AVENA VARIEDAD CAYUSE ||1.19400|A||A|021080400|N|01
00144|001|000|SEMILLA DE ALFALFA AGP 350||7.46270|A||A|021080410|N|01
00145|001|000|SEMILLA DE ALFALFA VARIEDAD  SW 8210 ||8.95520|A||A|021080420|N|01
00146|001|000|SEMILLA DE ALFALFA VARIEDAD SW 8925||8.95520|A||A|021080430|N|01
00147|001|000|SEMILLA DE ALISO ||23.88060|A||A|021080440|N|01
00148|001|000|SEMILLA DE FESTUCA  VARIEDAD FAWN||5.37310|A||A|021080450|N|01
00149|001|000|SEMILLA DE RETAMA||8.95520|A||A|021080460|N|01
00150|001|000|SEMILLA DE RYE GRASS ITALIANO, VARIEDAD TAMA TETRAPLOIDE||3.58210|A||A|021080470|N|01
00151|001|000|SEMILLA DE TREBOL ROSADO VARIEDAD RED QUELI||5.07460|A||A|021080480|N|01
00152|001|000|SEMILLA RYE  GRASS VARIEDAD MAGNUM||5.37310|A||A|021080490|N|01
00153|001|000|SEMILLA RYE GRASS VARIEDAD ANDREA||5.37310|A||A|021080500|N|01
00154|001|000|SEMILLA RYE GRASS VARIEDAD BOXER||5.37310|A||A|021080510|N|01
00155|001|000|SEMILLA TREBOL VARIEDAD ALSIKE||5.97010|A||A|021080520|N|01
00156|001|000|SEMILLA VICIA VARIEDAD AUSTRALIANA||.59700|A||A|021080530|N|01
00157|001|000|SEMILLA DE CIRUELA                                                                                  ||11.58180|A||A|021090010|N|01
00158|001|000|SEMILLA DE LUCUMA                                                                                   ||41.18120|A||A|021090020|N|01
00159|001|000|SEMILLA DE MANDARINA VARIEDAD CLEOPATRA                                                             ||221.74500|A||A|021090030|N|01
00160|002|000|YEMAS DE INJERTO DURAZNO||.30960|A||A|021090050|N|01
00161|002|000|YEMAS DE INJERTO MANZANO||.31070|A||A|021090060|N|01
00162|001|000|CORMOS DE GLADIOLOS BLANCO||5.42850|A||A|021100010|N|01
00163|001|000|CORMOS DE GLADIOLOS ROJO SANGRE||5.42850|A||A|021100020|N|01
00164|001|000|CORMOS DE GLADIOLOS ROSADO SANDIA||5.42850|A||A|021100030|N|01
00165|002|000|ESQUEJES DE CLAVEL  AMARILLO||.25200|A||A|021100040|N|01
00166|002|000|ESQUEJES DE CLAVEL  BLANCO||.25200|A||A|021100050|N|01
00167|002|000|ESQUEJES DE CLAVEL  ROJO||.25200|A||A|021100060|N|01
00168|002|000|ESQUEJES DE CLAVEL  ROJO ESCARLATA||.25200|A||A|021100070|N|01
00169|002|000|ESQUEJES DE CLAVEL COLOR ROSADO||.25200|A||A|021100110|N|01
00170|001|000|CORMOS DE GRADIOLOS GRANATE||5.42850|A||A|021100120|N|01
00171|001|000|SEMILLA DE AJO||1.96350|A||A|021120010|N|01
00172|002|000|ESQUEJE DE KOLLE||.15840|A||A|021130010|N|01
00173|002|000|ESQUEJES DE KEÑUA||.00630|A||A|021130020|N|01
00174|002|000|ESQUEJES DE FALARIS||9.45000|A||A|021140010|N|01
00175|002|000|PLANTONES DE CIRUELO||1.58390|A||A|021140020|N|01
00176|002|000|PLANTONES DE MANZANO||1.58390|A||A|021140030|N|01
00177|002|000|PLANTONES INJERTADOS DE FRUTALES||3.16780|A||A|021140040|N|01
00178|002|000|HIJUELOS DE MANZANO                                                                                 ||.63360|A||A|021140070|N|01
00179|002|000|HIJUELOS DE PERA                                                                                    ||.63360|A||A|021140080|N|01
00180|002|000|PLANTONES INJERTADOS PALTOS VARIEDAD FUERTE                                                         ||2.85100|A||A|021140090|N|01
00181|002|000|PLANTONES INJERTADOS PALTOS VARIEDAD HASS                                                           ||3.16780|A||A|021140100|N|01
00182|002|000|PLANTONES DE TUNA PARA TRANSPLANTE                                                                  ||.31680|A||A|021140110|N|01
00183|002|000|FRESA PLANTULA ||.29850|A||A|021140120|N|01
00184|002|000|PLANTONES DE MANZANO||.44780|A||A|021140130|N|01
00185|006|000|PLANTONES DE CHACHACOMO||.10000|A||A|021150010|N|01
00186|002|000|PLANTONES DE EUCALIPTO||.15840|A||A|021150020|N|01
00187|002|000|PLANTONES DE KOLLY||.15840|A||A|021150030|N|01
00188|002|000|PLANTONES DE CIPRES||.15840|A||A|021150040|N|01
00189|002|000|REPRODUCTOR DE CUY HEMBRA TIPO A-1||6.22330|A||A|022010010|N|01
00190|002|000|REPRODUCTOR DE CUY  MACHO TIPO A-1||9.33500|A||A|022010020|N|01
00191|002|000|REPRODUCTOR HEMBRA, BROWN SWISS (PPC) PREÑADAS PRIMER PARTO||584.26290|A||A|022010040|N|01
00192|002|000|REPRODUCTOR HEMBRA (ALPACA) RAZA HUACAYA||76.11940|A||A|022010050|N|01
00193|002|000|REPRODUCTOR MACHO (ALPACA) RAZA HUACAYA||121.79100|A||A|022010060|N|01
00194|002|000|REPRODUCTOR MACHO (OVINO) RAZA HAMPSHIRE||237.58390|A||A|022010070|N|01
00195|002|000|TORETE BROWN SWISS F1, 02 AÑOS DE EDAD||450.00000|A||A|022010080|N|01
00196|002|000|REPRODUCTOR HEMBRA OVINO RAZA CORRIDALE PPC                                                         ||154.40510|A||A|022010090|N|01
00197|002|000|POLLOS DE RECRIA CARNE                                                                              ||2.21740|A||A|022010100|N|01
00198|002|000|POLLOS DE RECRIA POSTURA                                                                            ||2.21740|A||A|022010110|N|01
00199|002|000|REPRODUCTOR MACHO OVINO RAZA CORRIDALE PPC                                                          ||153.75340|A||A|022010120|N|01
00200|002|000|REPRODUCTOR HEMBRA ( OVINO) RAZA HAMPSHIRE||237.58390|A||A|022010130|N|01
00201|002|000|REPRODUCTOR PPC BROWN SWISS DE 03 AÑOS DE EDAD||1292.45630|A||A|022010140|N|01
00202|002|000|REPRODUCTOR DE PORCINO HEMBRA ||179.10450|A||A|022010150|N|01
00203|002|000|REPRODUCTOR VAQUILLONA HEMBRA ||746.26870|A||A|022010160|N|01
00204|002|000|REPRODUCTOR DE PORCINO MACHO||298.50750|A||A|022010170|N|01
00205|002|000|AFRECHO X 50KG||7.91950|A||A|023010010|N|01
00206|002|000|SAL DE PIEDRA X 1KG||3.53420|A||A|023010020|N|01
00207|001|000|ALIMENTO CONCENTRADO ||.29760|A||A|023010030|N|01
00208|002|000|PAJA ICHU (CARGA)||2.98510|A||A|023010040|N|01
00209|002|000|SALES MINERALES  BLOQUES X 10 KILOS||3.88060|A||A|023010050|N|01
00210|001|000|ALIMENTO BALANCEADO PARA TRUCHA ACABADO PIGMENTADO||1.04480|A||A|023030010|N|01
00211|001|000|ALIMENTO BALANCEADO PARA TRUCHA ENGORDE||1.04480|A||A|023030020|N|01
00212|002|000|BISMUTO SULFA X 100G||3.37220|A||A|024010010|S|01
00213|002|000|BOVILAXA X 250G||2.34660|A||A|024010020|S|01
00214|002|000|FAXICUR 10% X 1LT FRASCO||33.26170|A||A|024010030|S|01
00215|002|000|HEMATOPAN B-12 X 100ML FRASCO||4.96460|A||A|024010040|S|01
00216|002|000|PROSANTEL AL 10%  FRASCO X 1 LITRO||21.01520|A||A|024010050|S|01
00217|002|000|RUMIFAR SOBRE X 100 GR||2.21740|A||A|024010060|S|01
00218|002|000|RUMIVET SOBRE X 100 GR||2.47480|A||A|024010070|S|01
00219|002|000|UBRESAN FRASCO X 400 GR||2.53420|A||A|024010080|S|01
00220|002|000|VALVAZEN AL 10% X 1000ML SUSPENSION||15.02760|A||A|024010090|S|01
00221|002|000|VIGANTOL (ADE)  FRASCO X 50ML||10.75620|A||A|024010100|S|01
00222|002|000|HEMATOPAN B-12 X 10ML AMPOLLA||2.82110|A||A|024010110|S|01
00223|002|000|BOLFO PLUS SOBRE X 250GR||3.86720|A||A|024010120|S|01
00224|002|000|RANK LA FRASCO X 100ML||27.55060|A||A|024010130|S|01
00225|002|000|RANK LA X 50 ML FRASCO||14.71000|A||A|024010140|S|01
00226|002|000|IVOMEC FRASCO X 50ML||14.25500|A||A|024010150|S|01
00227|002|000|SULFAGUANIDINA X 2 MG TABLETA||1.26710|A||A|024010160|S|01
00228|002|000|VIGANTOL (ADE) FRASCO X 100ML||18.65090|A||A|024010170|S|01
00229|002|000|ALBENZADOL AL 15% X 1000ML SUSPENSION||15.83890|A||A|024010200|S|01
00230|002|000|COMPLEJO B X 20ML SOLUCION INYECTABLE||2.53420|A||A|024010210|S|01
00231|002|000|EMICINA LA FRASCO X 20ML||4.43490|A||A|024010220|S|01
00232|002|000|TRICLABENDAZOL 10% X 800ML SUSPENSION ORAL||33.57850|A||A|024010240|S|01
00233|002|000|SALES MINERALES PARA GANADO SOBRE X 250GRAMOS||1.53660|A||A|024010270|N|01
00234|002|000|SUPER LA FRASCO X 100ML||12.99260|A||A|024010280|S|01
00235|002|000|VMD AMINOVIT SOBRE X 1KILO||22.56910|A||A|024010300|S|01
00236|002|000|BIOCALAN FRASCO X 100ML||15.42220|A||A|024010310|S|01
00237|002|000|BIOMICIN SUPER SOBRE X 200GRAMOS||6.41800|A||A|024010320|S|01
00238|002|000|OXITETRACICLINA 50MG+BENCIDAMINA 20MG X 250ML SOLUCION INYECTABLE||9.50340|A||A|024010330|S|01
00239|002|000|BOLOS INTRAUTERINOS (OXITEC) X 5UNIDADES.||1.26710|A||A|024010340|S|01
00240|002|000|GUANTES LARGOS DE POLIETILENO||.31350|A||A|024010350|S|01
00241|002|000|TALPAMEC 15% X 1LITRO.||12.78810|A||A|024010380|S|01
00242|002|000|BIOMICINA L.A. FRASCO X 50ML||3.80130|A||A|024010410|S|01
00243|002|000|BIOMIZONA FRASCO X 250ML||9.26700|A||A|024010420|S|01
00244|002|000|BLOATENZ FRASCO X 30ML||1.38290|A||A|024010440|S|01
00245|002|000|BUTOX X 5 FRASCOS X 10ML BLISTER||8.93640|A||A|024010450|S|01
00246|002|000|CALOI AD3E FRASCO X 20ML||2.62980|A||A|024010460|S|01
00247|002|000|CALOI FRASCO X 100ML||7.58570|A||A|024010470|S|01
00248|002|000|CALOI FRASCO X 250ML||19.47330|A||A|024010480|S|01
00249|002|000|CORRAL AL 10% X 1000ML||8.77690|A||A|024010490|S|01
00250|002|000|MICRO PARAS 10% FRASCO X 1 LITRO||14.73260|A||A|024010500|S|01
00251|002|000|MICRO PARAS 3.8% FRASCO X 1 LITRO||25.34230|A||A|024010510|S|01
00252|002|000|MICROTEL FRASCO X 1 LITRO||48.30750|A||A|024010520|S|01
00253|002|000|OFTALMIN EN POLVO X 70GRAMOS||4.22650|A||A|024010530|S|01
00254|002|000|OXITETRACICLINA AL 20% LA FRASCO X 50ML.||6.10500|A||A|024010540|S|01
00255|002|000|PENCIVET FUERTE X 15ML AMPOLLA||7.52310|A||A|024010550|S|01
00256|002|000|REVIMIN PLUS X 250ML||44.34900|A||A|024010560|S|01
00257|002|000|SANIQUANTEL 10% FRASCO X 1 LITRO||28.83830|A||A|024010570|S|01
00258|002|000|SARNAVET SOBRE X 500GRAMOS||12.67110|A||A|024010580|S|01
00259|002|000|TERRAMICINA SOBRE X 100GRAMOS||5.63540|A||A|024010590|S|01
00260|002|000|TONOFOSFAN FRASCO X 100ML||12.67110|A||A|024010600|S|01
00261|002|000|TRISAN (ANTIPARACITARIO) FRASCO X 1 LITRO||15.83890|A||A|024010610|S|01
00262|002|000|UBRELINA SOBRE X 200GRAMOS||1.87850|A||A|024010620|S|01
00263|002|000|ULTRAVIT CON MINERALES FRASCO X 20ML||1.58390|A||A|024010630|S|01
00264|002|000|SAL DE AMONIO PAQUETE X 200GRAMOS.||2.53420|A||A|024010640|S|01
00265|002|000|BAGOMECTINA LA X 100ML||26.01720|A||A|024010650|S|01
00266|002|000|IRON DEX X 20ML||3.13460|A||A|024010660|S|01
00267|002|000|PRAZICUANTEL 50MG + FENBENDAZOL 450MG                                                               ||.46960|A||A|024010670|S|01
00268|002|000|HIERRO DEXTRAN X 50ML INYECTABLE                                                                    ||3.04060|A||A|024010680|S|01
00269|002|000|BOLDENONA X 100ML                                                                                   ||22.47510|A||A|024010690|S|01
00270|002|000|CACODILATO DE SODIO + VITAMINA B12||3.74930|A||A|024010700|N|01
00271|002|000|CARBENDAZIM X 250ML||7.61190|A||A|024010710|N|01
00272|002|000|IVERMECTINA 1% SOLUCION X 200ML||28.51010|A||A|024010760|N|01
00273|002|000|OXITETRACICLINA + VITAMINAS X 100GR||2.98100|A||A|024010770|N|01
00274|002|000|TERRAMICINA CREMA X 100GR||7.91950|A||A|024010780|N|01
00275|002|000|TETRACICLINA FRASCO 100 CC||.00000|A||A|024010790|N|01
00276|002|000|TRICLABENDAZOL 12% X LITRO||29.19550|A||A|024010800|N|01
00277|002|000|ALBENDAZOL AL 10% X 1000ML SUSPENSION||9.85070|A||A|024010820|N|01
00278|002|000|VETALGINA SOLUCION X 100ML||7.16420|A||A|024010830|N|01
